TreeID,PlotID,STATUSCD,SPCD,DIA_cm,HT_m,CR,EXP_tph,TPH,TPM,X_m,Y_m
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,115.68971930984256,121.25048068607704
31453830010690,31453794010690,1,202,6.604,5.486400000000001,0.7,74.965282,185.2429600861,0.01852429600861,4.97725265276463,1.4712428202032557
31453833010690,31453794010690,1,202,4.064,3.048,0.75,74.965282,185.2429600861,0.01852429600861,27.24162073319785,20.094330226359624
31453834010690,31453794010690,1,202,3.302,3.6576000000000004,0.65,74.965282,185.2429600861,0.01852429600861,118.05252293786577,80.72370112570361
31453832010690,31453794010690,1,202,2.7940000000000005,2.7432000000000003,0.6,74.965282,185.2429600861,0.01852429600861,107.47838667019406,74.49880857315428
31453825010690,31453794010690,1,122,10.414,5.486400000000001,0.3,74.965282,185.2429600861,0.01852429600861,6.074969327131363,119.73470428661659
31453834010690,31453794010690,1,202,3.302,3.6576000000000004,0.65,74.965282,185.2429600861,0.01852429600861,103.20887685997545,109.16525908831962
31453826010690,31453794010690,1,122,5.08,4.2672,0.25,74.965282,185.2429600861,0.01852429600861,4.349089867628075,152.70792008222833
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,58.212894158752036,197.7190823585627
31453823010690,31453794010690,1,122,7.8740000000000006,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,49.043005604401316,11.807699715076803
31453835010690,31453794010690,1,202,2.7940000000000005,3.048,0.4,74.965282,185.2429600861,0.01852429600861,15.057357255665105,128.99779898921005
31453822010690,31453794010690,1,122,43.687999999999995,24.6888,0.5,6.018046,14.8708925683,0.00148708925683,134.74122469174648,126.94713622590557
31453830010690,31453794010690,1,202,6.604,5.486400000000001,0.7,74.965282,185.2429600861,0.01852429600861,85.79312414124132,165.5931185512608
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,49.47051500114454,14.927393134154254
31453834010690,31453794010690,1,202,3.302,3.6576000000000004,0.65,74.965282,185.2429600861,0.01852429600861,53.764208637443666,138.0925538588154
31453823010690,31453794010690,1,122,7.8740000000000006,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,182.08474805019512,196.18750824372745
31453832010690,31453794010690,1,202,2.7940000000000005,2.7432000000000003,0.6,74.965282,185.2429600861,0.01852429600861,110.03520259939201,55.924667701383804
31453823010690,31453794010690,1,122,7.8740000000000006,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,50.74054017755094,62.95057246381881
31453835010690,31453794010690,1,202,2.7940000000000005,3.048,0.4,74.965282,185.2429600861,0.01852429600861,102.58804086742272,166.33324285905417
31453832010690,31453794010690,1,202,2.7940000000000005,2.7432000000000003,0.6,74.965282,185.2429600861,0.01852429600861,75.74313188951376,139.78652021987153
31453826010690,31453794010690,1,122,5.08,4.2672,0.25,74.965282,185.2429600861,0.01852429600861,179.0693539061906,48.69781488336766
31453835010690,31453794010690,1,202,2.7940000000000005,3.048,0.4,74.965282,185.2429600861,0.01852429600861,45.437880533509855,106.04720988283638
31453830010690,31453794010690,1,202,6.604,5.486400000000001,0.7,74.965282,185.2429600861,0.01852429600861,33.02541607065681,6.460651407990459
31453826010690,31453794010690,1,122,5.08,4.2672,0.25,74.965282,185.2429600861,0.01852429600861,179.4767567961327,86.31437572463818
31453823010690,31453794010690,1,122,7.8740000000000006,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,41.79486071851104,50.8318952091928
31453832010690,31453794010690,1,202,2.7940000000000005,2.7432000000000003,0.6,74.965282,185.2429600861,0.01852429600861,0.452839631652302,184.10783975166126
31453831010690,31453794010690,1,202,6.096,4.572,0.7,74.965282,185.2429600861,0.01852429600861,99.75728363433132,6.668194968873209
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,179.83243801266113,168.743206106591
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,35.70650243751574,192.27387778000985
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,166.8263178505055,115.6752092826736
31453830010690,31453794010690,1,202,6.604,5.486400000000001,0.7,74.965282,185.2429600861,0.01852429600861,190.7136474265014,30.297704816384385
31453813010690,31453794010690,1,122,16.764,10.3632,0.2,6.018046,14.8708925683,0.00148708925683,172.04048587698563,44.15275221364921
31453825010690,31453794010690,1,122,10.414,5.486400000000001,0.3,74.965282,185.2429600861,0.01852429600861,155.72818300570532,67.75232231775372
31453832010690,31453794010690,1,202,2.7940000000000005,2.7432000000000003,0.6,74.965282,185.2429600861,0.01852429600861,58.20300730702455,56.49902707067438
31453831010690,31453794010690,1,202,6.096,4.572,0.7,74.965282,185.2429600861,0.01852429600861,68.42519246556083,187.64584164643395
31453833010690,31453794010690,1,202,4.064,3.048,0.75,74.965282,185.2429600861,0.01852429600861,31.415740004308155,180.20891376399783
31453833010690,31453794010690,1,202,4.064,3.048,0.75,74.965282,185.2429600861,0.01852429600861,102.55593930526258,113.31325828144021
31453810010690,31453794010690,1,122,58.67400000000001,26.822400000000002,0.65,6.018046,14.8708925683,0.00148708925683,165.52627536641117,142.99622730288874
31453831010690,31453794010690,1,202,6.096,4.572,0.7,74.965282,185.2429600861,0.01852429600861,99.32489329968841,11.480443268221796
31453826010690,31453794010690,1,122,5.08,4.2672,0.25,74.965282,185.2429600861,0.01852429600861,164.67158670779278,118.46115437571869
31453825010690,31453794010690,1,122,10.414,5.486400000000001,0.3,74.965282,185.2429600861,0.01852429600861,95.99722554447139,7.043919628178519
31453835010690,31453794010690,1,202,2.7940000000000005,3.048,0.4,74.965282,185.2429600861,0.01852429600861,69.69507155366918,26.354628111883606
31453832010690,31453794010690,1,202,2.7940000000000005,2.7432000000000003,0.6,74.965282,185.2429600861,0.01852429600861,25.420359142523985,63.76965423500931
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,2.557418820896107,3.1226019882690803
31453830010690,31453794010690,1,202,6.604,5.486400000000001,0.7,74.965282,185.2429600861,0.01852429600861,70.61849784345506,96.51269762122988
31453819010690,31453794010690,1,122,42.418,24.384,0.4,6.018046,14.8708925683,0.00148708925683,142.69918544948672,130.95358639454585
31453833010690,31453794010690,1,202,4.064,3.048,0.75,74.965282,185.2429600861,0.01852429600861,69.19694454932555,58.71814702310492
31453825010690,31453794010690,1,122,10.414,5.486400000000001,0.3,74.965282,185.2429600861,0.01852429600861,163.79503612370695,166.18212540113035
31453823010690,31453794010690,1,122,7.8740000000000006,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,138.01330626011492,44.859877666204476
31453823010690,31453794010690,1,122,7.8740000000000006,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,87.86442711924806,78.98789480575272
31453809010690,31453794010690,1,122,43.434000000000005,24.9936,0.45,6.018046,14.8708925683,0.00148708925683,167.04458310600273,136.740517415644
31453833010690,31453794010690,1,202,4.064,3.048,0.75,74.965282,185.2429600861,0.01852429600861,141.90443354461644,124.15092981035542
31453832010690,31453794010690,1,202,2.7940000000000005,2.7432000000000003,0.6,74.965282,185.2429600861,0.01852429600861,113.53503125241842,186.397429020293
31453830010690,31453794010690,1,202,6.604,5.486400000000001,0.7,74.965282,185.2429600861,0.01852429600861,93.01850802290099,90.07812857644298
31453825010690,31453794010690,1,122,10.414,5.486400000000001,0.3,74.965282,185.2429600861,0.01852429600861,195.22573894764562,198.55335210806226
31453826010690,31453794010690,1,122,5.08,4.2672,0.25,74.965282,185.2429600861,0.01852429600861,149.67871364166427,34.34342598107338
31453834010690,31453794010690,1,202,3.302,3.6576000000000004,0.65,74.965282,185.2429600861,0.01852429600861,69.00034082910307,94.70598013186526
31453823010690,31453794010690,1,122,7.8740000000000006,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,68.12093892124386,83.88626213227471
31453811010690,31453794010690,1,122,48.514,25.6032,0.4,6.018046,14.8708925683,0.00148708925683,122.93795550195838,70.86981577668028
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,30.977020201636996,121.7663191068699
31453830010690,31453794010690,1,202,6.604,5.486400000000001,0.7,74.965282,185.2429600861,0.01852429600861,108.28171969098102,82.64978718683157
31453808010690,31453794010690,1,122,54.102000000000004,23.4696,0.45,6.018046,14.8708925683,0.00148708925683,111.5492886783334,81.2324807053497
31453820010690,31453794010690,1,122,36.068,23.4696,0.3,6.018046,14.8708925683,0.00148708925683,131.8153418373047,187.9615322097162
31453832010690,31453794010690,1,202,2.7940000000000005,2.7432000000000003,0.6,74.965282,185.2429600861,0.01852429600861,170.33054672530488,189.1163555590506
31453826010690,31453794010690,1,122,5.08,4.2672,0.25,74.965282,185.2429600861,0.01852429600861,131.90207172448473,11.883023506839985
31453835010690,31453794010690,1,202,2.7940000000000005,3.048,0.4,74.965282,185.2429600861,0.01852429600861,180.73057182879649,44.154075254053836
31453834010690,31453794010690,1,202,3.302,3.6576000000000004,0.65,74.965282,185.2429600861,0.01852429600861,4.230544501543898,143.95251815052907
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,121.15915636913799,51.887014811448154
31453826010690,31453794010690,1,122,5.08,4.2672,0.25,74.965282,185.2429600861,0.01852429600861,6.206730985804643,105.76776268022616
31453835010690,31453794010690,1,202,2.7940000000000005,3.048,0.4,74.965282,185.2429600861,0.01852429600861,168.15462156609473,54.699973716552286
31453831010690,31453794010690,1,202,6.096,4.572,0.7,74.965282,185.2429600861,0.01852429600861,25.38860149584936,76.68623569729549
31453825010690,31453794010690,1,122,10.414,5.486400000000001,0.3,74.965282,185.2429600861,0.01852429600861,98.50563516041862,74.67214960587975
31453833010690,31453794010690,1,202,4.064,3.048,0.75,74.965282,185.2429600861,0.01852429600861,21.46292603319018,101.55875792470368
31453835010690,31453794010690,1,202,2.7940000000000005,3.048,0.4,74.965282,185.2429600861,0.01852429600861,128.59846280486255,62.741503776438435
31453832010690,31453794010690,1,202,2.7940000000000005,2.7432000000000003,0.6,74.965282,185.2429600861,0.01852429600861,109.75435534241906,117.55437714579209
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,7.989457958959201,134.72740837881472
31453833010690,31453794010690,1,202,4.064,3.048,0.75,74.965282,185.2429600861,0.01852429600861,150.15549224688814,117.10492062465492
31453826010690,31453794010690,1,122,5.08,4.2672,0.25,74.965282,185.2429600861,0.01852429600861,106.34659237475503,195.97840908058052
31453832010690,31453794010690,1,202,2.7940000000000005,2.7432000000000003,0.6,74.965282,185.2429600861,0.01852429600861,90.57476623640864,43.04030758483308
31453830010690,31453794010690,1,202,6.604,5.486400000000001,0.7,74.965282,185.2429600861,0.01852429600861,178.73834757374289,71.93399325878414
31453835010690,31453794010690,1,202,2.7940000000000005,3.048,0.4,74.965282,185.2429600861,0.01852429600861,156.88963131948924,68.84056572143575
31453816010690,31453794010690,1,122,22.352000000000004,16.154400000000003,0.4,6.018046,14.8708925683,0.00148708925683,174.3300908011636,165.70720027560435
31453823010690,31453794010690,1,122,7.8740000000000006,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,40.84491085617796,54.48070466336383
31453823010690,31453794010690,1,122,7.8740000000000006,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,98.18706173794733,66.91061331354462
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,73.76920210658248,143.81074110344736
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,63.69766998812232,37.60341643229701
31453823010690,31453794010690,1,122,7.8740000000000006,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,60.379678637695775,77.48735280594508
31453832010690,31453794010690,1,202,2.7940000000000005,2.7432000000000003,0.6,74.965282,185.2429600861,0.01852429600861,56.54224078309913,173.23308426476595
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,121.62334556117504,117.08887273041266
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,110.00361549366764,129.83011778810268
31453823010690,31453794010690,1,122,7.8740000000000006,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,12.31011481929951,47.21202376477716
31453826010690,31453794010690,1,122,5.08,4.2672,0.25,74.965282,185.2429600861,0.01852429600861,62.345057961373215,1.14947884961758
31453835010690,31453794010690,1,202,2.7940000000000005,3.048,0.4,74.965282,185.2429600861,0.01852429600861,70.27217566729891,4.44401305367057
31453825010690,31453794010690,1,122,10.414,5.486400000000001,0.3,74.965282,185.2429600861,0.01852429600861,22.705373613448245,53.674538637896504
31453825010690,31453794010690,1,122,10.414,5.486400000000001,0.3,74.965282,185.2429600861,0.01852429600861,111.46908317996579,191.5173862336631
31453816010690,31453794010690,1,122,22.352000000000004,16.154400000000003,0.4,6.018046,14.8708925683,0.00148708925683,143.0087435559702,85.57282671976213
31453825010690,31453794010690,1,122,10.414,5.486400000000001,0.3,74.965282,185.2429600861,0.01852429600861,27.202373843992135,60.84393158397761
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,48.74201684501729,48.6872989915101
31453833010690,31453794010690,1,202,4.064,3.048,0.75,74.965282,185.2429600861,0.01852429600861,97.52525885641077,198.5143954896403
31453823010690,31453794010690,1,122,7.8740000000000006,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,35.09250692170478,44.528950777734245
31453823010690,31453794010690,1,122,7.8740000000000006,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,177.95635420640133,27.799439343489762
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,59.545042353470336,104.51526747384412
31453825010690,31453794010690,1,122,10.414,5.486400000000001,0.3,74.965282,185.2429600861,0.01852429600861,151.6470722504573,64.2675478117183
31453834010690,31453794010690,1,202,3.302,3.6576000000000004,0.65,74.965282,185.2429600861,0.01852429600861,103.5865660908134,129.62053880292424
31453833010690,31453794010690,1,202,4.064,3.048,0.75,74.965282,185.2429600861,0.01852429600861,119.82128085971124,54.387518167374814
31453831010690,31453794010690,1,202,6.096,4.572,0.7,74.965282,185.2429600861,0.01852429600861,140.9561525204108,148.62586373836803
31453825010690,31453794010690,1,122,10.414,5.486400000000001,0.3,74.965282,185.2429600861,0.01852429600861,36.050327926831294,117.54340479556807
31453825010690,31453794010690,1,122,10.414,5.486400000000001,0.3,74.965282,185.2429600861,0.01852429600861,106.31433850285535,141.187021683154
31453831010690,31453794010690,1,202,6.096,4.572,0.7,74.965282,185.2429600861,0.01852429600861,50.567938256224764,152.65123150577696
31453833010690,31453794010690,1,202,4.064,3.048,0.75,74.965282,185.2429600861,0.01852429600861,21.824612844761294,35.55749797411898
31453826010690,31453794010690,1,122,5.08,4.2672,0.25,74.965282,185.2429600861,0.01852429600861,169.86743838230328,73.55615033659808
31453830010690,31453794010690,1,202,6.604,5.486400000000001,0.7,74.965282,185.2429600861,0.01852429600861,65.97022247588586,39.852320877256055
31453834010690,31453794010690,1,202,3.302,3.6576000000000004,0.65,74.965282,185.2429600861,0.01852429600861,153.5801212362649,127.79857944577095
31453831010690,31453794010690,1,202,6.096,4.572,0.7,74.965282,185.2429600861,0.01852429600861,144.61177861023148,187.74939043993857
31453830010690,31453794010690,1,202,6.604,5.486400000000001,0.7,74.965282,185.2429600861,0.01852429600861,119.02887741513968,32.35913664281909
31453817010690,31453794010690,1,122,33.274,23.4696,0.4,6.018046,14.8708925683,0.00148708925683,122.22901090716985,76.92272401473168
31453823010690,31453794010690,1,122,7.8740000000000006,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,103.17389801202386,103.05046514890108
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,80.47992228868549,130.8813240193922
31453831010690,31453794010690,1,202,6.096,4.572,0.7,74.965282,185.2429600861,0.01852429600861,4.664498075531798,33.154423134693054
31453821010690,31453794010690,1,122,49.275999999999996,24.9936,0.5,6.018046,14.8708925683,0.00148708925683,139.2263247744236,198.74395764799965
31453811010690,31453794010690,1,122,48.514,25.6032,0.4,6.018046,14.8708925683,0.00148708925683,109.41654478992302,32.13152045938084
31453825010690,31453794010690,1,122,10.414,5.486400000000001,0.3,74.965282,185.2429600861,0.01852429600861,144.04638878061874,52.530845577400264
31453832010690,31453794010690,1,202,2.7940000000000005,2.7432000000000003,0.6,74.965282,185.2429600861,0.01852429600861,49.05060918728304,69.54731647926002
31453832010690,31453794010690,1,202,2.7940000000000005,2.7432000000000003,0.6,74.965282,185.2429600861,0.01852429600861,91.3218826380648,128.00252981524775
31453833010690,31453794010690,1,202,4.064,3.048,0.75,74.965282,185.2429600861,0.01852429600861,145.98949679171164,55.84763795854868
31453832010690,31453794010690,1,202,2.7940000000000005,2.7432000000000003,0.6,74.965282,185.2429600861,0.01852429600861,170.11082412637947,148.40281159566297
31453831010690,31453794010690,1,202,6.096,4.572,0.7,74.965282,185.2429600861,0.01852429600861,104.76031361110228,197.71441244426498
31453830010690,31453794010690,1,202,6.604,5.486400000000001,0.7,74.965282,185.2429600861,0.01852429600861,122.62775059038044,58.711407678309094
31453824010690,31453794010690,1,122,6.8580000000000005,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,55.56713556172068,67.56687098078424
31453831010690,31453794010690,1,202,6.096,4.572,0.7,74.965282,185.2429600861,0.01852429600861,90.74433831013091,83.54954402232279
31453831010690,31453794010690,1,202,6.096,4.572,0.7,74.965282,185.2429600861,0.01852429600861,99.2348960383535,175.70372412770806
31453823010690,31453794010690,1,122,7.8740000000000006,5.1816,0.35,74.965282,185.2429600861,0.01852429600861,28.593210400901945,54.4942425750657
31453830010690,31453794010690,1,202,6.604,5.486400000000001,0.7,74.965282,185.2429600861,0.01852429600861,13.831740912209135,85.94666268879871
31453820010690,31453794010690,1,122,36.068,23.4696,0.3,6.018046,14.8708925683,0.00148708925683,37.161958762738,28.81955296533021
